id,question,option_a,option_b,option_c,option_d,correct_option
OIC-197-02-B,What percentage of spondyloarthritis cases are reported in France?,2.5%,1.3%,0.35%,15%,c
OIC-197-08-B,What is the primary difference between Ankylosing Spondylitis (AS) and Reactive Arthritis?,Both are caused by bacterial infections,Both cause damage to the kidneys,"Reactive Arthritis is aseptic arthritis occurring after a viral infection, while AS is caused by a genetic mutation",Neither AS nor Reactive Arthritis typically affects the digestive system,c
OIC-197-13-A,What is the primary treatment for Spondyloarthritis?,Non-steroidal anti-inflammatory drugs with possible rotation of NSAIDs,Analgesics without opioids,Disease-modifying therapies with marketing authorization according to spondyloarthritis phenotype,"Stopping smoking, regular physical activity only",option_a
OIC-197-12-A,What is a characteristic feature of the enthesophyte in spondyloarthritis?,A calcified cartilage deposit at the base of the tendon,Cicatricial ossification along a peripheral enthesis (the calcaneal spur),Osteochondritis dissecans,Fibrous dysplasia,b
OIC-197-03-B,What percentage of people with ankylosing spondylitis carry the HLA-B27 gene?,70%,10%,50%,90%,d
OIC-197-06-B,What is the primary extra-articular sign associated with Spondyloarthritis?,Inflammatory enterocolopathy,Psoriasis,Red and/or painful eye,Discovery of abnormalities on cardiac auscultation,option_c
OIC-330-01-A,What is the main therapeutic class of nonsteroidal anti-inflammatory drugs (NSAIDs)?,Acute post-operative pain,Chronic pain,Lower back pain,Hyperthermia fever,b
OIC-330-07-A,What is the main therapeutic class that inhibits Xa to prevent thrombosis in adults and children?,Heparin sodium,Low molecular weight heparin,Synthetic pentasaccharide,Fondaparinux,b
OIC-330-10-A,What is the primary mechanism of action for Serotonin Reuptake Inhibitors (SRIs) in adults and children?,Increasing serotonin levels.,Blocking serotonin receptors.,Inhibiting a specific enzyme.,Activating a neurotransmitter.,increasing serotonin levels.
OIC-330-08-A,What is the main mechanism of action for Apixaban and Rivaroxaban?,Direct,Indirect,Thrombin inhibition,Factor Xa inhibition,d
OIC-330-17-A,What is the main difference between a weak opioid and a strong opioid in terms of their therapeutic use?,"Weak opioids are often used for neuropathic pain, while strong opioids are typically used for acute pain.","Strong opioids have more powerful analgesic effects compared to weak opioids, making them suitable for severe pain cases.","Weak opioids require a higher dose and may be less effective in certain types of pain, whereas strong opioids can provide longer-lasting relief but may increase the risk of side effects.","The main difference between weak and strong opioids is their potency and duration of action. Strong opioids are designed for severe pain cases, while weak opioids are used for more chronic conditions.",b
OIC-330-09-A,What is the primary mechanism of action for benzodiazepines in adults?,Inhibits GABA receptors,Blocks NMDA receptors,Activates alpha-1 adrenergic receptors,Inhibits dopamine receptors,a
OIC-330-03-A,What is the main mechanism of action of beta-blockers in adults and children?,Intrinsic sympathomimetic activity,Competitive antagonism,Sympatholytic blockade,Phosphodiesterase inhibition,b
OIC-330-11-A,What is the primary mechanism of action for beta-blockers in adults and children?,Blocking adrenergic receptors,Inhibiting potassium channels,Increasing blood pressure,Decreasing dopamine levels,a
OIC-330-05-A,What is the primary mechanism of action for calcium channel blockers?,Increase cardiac output,Reduce blood pressure,Decrease heart rate and contractility,Inhibit platelet aggregation,c
OIC-330-12-A,What is the main mechanism of action for valproic acid?,Blockade of calcium or potassium channels,Reduction of glutamatergic tone,Inhibition of GABA transaminase inhibitors,Reinforcement of GABAergic tone,b
OIC-330-06-A,What is the main mechanism of action for anti-platelet agents?,Inhibition of platelet aggregation by inhibiting adenosine diphosphate (ADP) release from the platelet membrane.,Inhibition of platelet activation through a different pathway.,Stimulation of platelet aggregation.,"Activation of platelets, leading to increased clot formation.",option_a
OIC-330-13-A,What is the primary mechanism of action for Ezetimibe?,Inhibits cholesterol absorption from the small intestine,Increases production of low-density lipoprotein receptors in hepatocytes,Blocks beta-adrenergic receptors on adipose tissue,Activates protein kinase C,option_a
OIC-330-02-A,What is the primary mechanism of action of loop diuretics?,Inhibition of sodium-potassium ATPase.,Inhibition of thiazide co-transporter,Inhibition of epithelial sodium channel (ENaC),Activation of guanylate cyclase,c
OIC-330-04-A,What is a key difference between Angiotensin-converting enzyme (ACE) inhibitors and Angiotensin II receptor antagonists in managing hypertension?,Both drugs are used for heart failure,"One has a more targeted effect on the renin-angiotensin system, while the other is a competitive antagonist of angiotensin II AT1 receptors.",ACE inhibitors have a narrower therapeutic window compared to Angiotensin II receptor antagonists,Both drugs are equally effective in treating hypertension,b
OIC-330-16-A,What is a key difference between paracetamol and nefopam?,Both are central analgesics,"Paracetamol has anti-inflammatory properties, while nefopam does not.","Nefopam is used for post-operative pain, whereas paracetamol is used for acute pain.",All the above,b
OIC-330-15-A,What is a common side effect associated with Metformin?,Digestive problems,Lactic acidosis,Hypoglycemia,Weight gain,a
OIC-330-14-A,What is the main mechanism of action for insulin analogues?,Increasing glucose uptake in skeletal muscle and adipose tissue,Reducing liver glucose release,Blocking insulin receptors on cells,Increasing insulin sensitivity in peripheral tissues only,option_a
OIC-310-04-B,What is the main site of non-node metastasis for prostate cancer?,Bone,Lung,Liver,Brain,b
OIC-310-03-A,What are the known risk factors for prostate cancer?,Age,Genetic Factors,Ethnic Origin,Metabolic Syndrome,option_a
OIC-310-01-B,What is the most common tumour type in men over 50?,Benign Prostatic Hyperplasia,Adenocarcinoma,Prostate Cancer,Neuroendocrine Carcinoma,option_a
OIC-310-05-A,What is a common sign of advanced prostate cancer that can cause urinary retention?,Haemospermia,Painful urination,Weakness in the legs,Difficulty walking,b
OIC-310-06-A,What is a key factor that influences PSA levels?,Prostate volume,Age,Genetics,Hormone replacement therapy (HRT),option_a
OIC-310-07-B,What is the main principle of managing low-risk localized prostate cancer? What treatment options are available for this group?,Active surveillance,Total prostatectomy,Radiotherapy with hormone therapy,Cryotherapy and HIFU,A
OIC-310-02-B,What is the typical age range for men to be diagnosed with prostate cancer?,50,70,40,10,b
OIC-024-11-A,What is a life-threatening complication of pregnancy with hypertension?,Eclampsia,"Hemolysis, Elevated Liver enzymes, Low Platelets (HELLP)",Retroplacental haematoma (HRP),Subcapsular haematoma of the liver,a
OIC-024-01-A,What percentage of first trimester hemorrhage may be related to a non-progressive intrauterine pregnancy?,10%,25%,30%,40%,b
OIC-024-18-A,What is considered an abnormal length for the cervix in MAP?,Less than 20 mm,Between 25-30 mm,More than 35 mm,Not relevant to MAP diagnosis,option_a
OIC-024-06-B,What is the main principle of managing postpartum hemorrhage (PPH)?,Under-valve inspection of the lower genital tract,"Administration of oxytocin 10 IU by slow IV infusion, repeated once if necessary",Uterine massage and suturing of any perineal tears,Surgical revision of the uterus,option_a 
OIC-024-21-B,What should be the priority in managing a threatened premature birth?,Antibiotic therapy only if infection is diagnosed.,Tocolysis for 48 hours with calcium channel blockers (nifedipine) or oxytocin antagonists (atosiban),Immediate cesarean section,Hospitalization and/or transfer to a maternity hospital of a suitable type at term.,"Beware of the implications of tocolysis: maternal-foetal infection (chorioamnionitis), heavy metrorrhagia, and abnormalities in the fetal heart rate."
OIC-024-09-B,What percentage of high blood pressure cases in pregnancy are associated with pre-eclampsia?,2-3%,5-10%,15-20%,0.1%,b
OIC-024-10-B,What should be done if the urinary albumin/creatinine ratio exceeds 40 mg/m^2/hr?,Follow up with a routine pregnancy check-up,Request an obstetrical exam to assess fetal development,Call emergency services for severe hypertension,Perform a urinary catheterization test,b
OIC-024-05-A,What is a postpartum hemorrhage? ,A sudden drop in blood pressure after childbirth,Excessive urine production during pregnancy,A condition where the placenta separates from the uterus too quickly,A type of kidney disease,option_a
OIC-024-24-A,What is the primary cause of fever in pregnant women with a temperature above 38.5°C?,Listeria M infection: Listeria M can cause high fevers in pregnant women.,COVID-19 virus: COVID-19 can also cause high fevers in some pregnant women.,"Streptococcus pneumoniae: S. pneumoniae is a common cause of bacterial infections that can lead to fever and other symptoms in pregnant women, but it's not the primary cause of fever in this context.","Toxoplasmosis: Toxoplasmosis is an opportunistic infection that can cause fever in some pregnant women, particularly those with weakened immune systems, but it's not typically associated with high fevers in otherwise healthy pregnant women.",B. Listeria M
OIC-024-13-B,What should be the target blood pressure for pregnant women with mild hypertension?,120-125 mmHg,130-135 mmHg,140-145 mmHg,150-155 mmHg,a
OIC-024-17-B,What is the main complication associated with gestational hypertension?,Chronic kidney failure,Cardiovascular disease,Hypertension itself,Low birth weight,option_c
OIC-024-15-B,What should be the first course of action after childbirth to manage hypertension?,Give antihypertensive medication immediately,Wait for 6 weeks without monitoring before adjusting treatment,Close monitoring and gradual discontinuation of antihypertensive treatment with objectives: PAS < 150 mmHg and PAD < 100 mmHg.,Use only non-hormonal contraception at discharge,c
OIC-024-20-A,What is the primary purpose of carrying out an IGFBP-1 test in cases where premature rupture of membranes is suspected?,Confirm pregnancy,Determine fetal gender,Check for risk of premature delivery,Diagnose urinary tract infection,c
OIC-024-12-A,What is a major criterion for severe hypertension during pregnancy?,Severe proteinuria,Hypertension with preeclampsia,Severe thrombocytopenia,Hepatic cytolysis,option_a
OIC-024-22-A,What is the primary purpose of performing a morphological assessment on the uterine cavity in cases where there is a history of abnormal pregnancy?,To identify and treat any existing vaginal infections,To determine if the baby's heart rate is normal during labor,To check for any abnormalities in the cervix that may be causing cervical trauma,To diagnose and treat a condition known as 'uterine fibroids' without medical supervision,c
OIC-024-08-A,What is the minimum blood pressure threshold for diagnosing pregnancy-induced hypertension?,140,120,130,180,a
OIC-024-02-A,What is one key consideration for managing a first-trimester miscarriage?,Prevention of Rhesus Alloimmunisation-D,Preventing Placental Abruption,Medical Treatment Only,Surgical Treatment Only,option_a
OIC-024-07-B,"What is the primary purpose of directed, systematic delivery in preventing postpartum hemorrhage (PPH)?",1. To increase oxytocin administration.,2. To use a blood loss collection bag immediately after expulsion to assess volume of blood loss.,3. To perform manual removal of the placenta.,4. To provide 24-hour continuous monitoring in the labor ward.,1
OIC-024-25-A,What is the recommended treatment for pyelonephritis during pregnancy?,Antibiotics only,Cephalosporins,Vancomycin,Amoxicillin 3 g/d (or erythromycin if allergic),option_d
OIC-024-16-A,What is the main complication that can occur if a patient has a history of pregnancy-induced hypertension in a similar way to subfertility issues?,Pre-eclampsia,Hypertension-related fetal growth restriction (HR-GR),HPA axis dysfunction,Tachycardia-induced hypertension syndrome (TIHS),option_b
OIC-024-23-A,What is a common sign of upper urinary tract infection during pregnancy?,Abnormal genital bleeding,Chills,Hypertension,Anxiety,b
OIC-024-04-A,What is a common complication that may lead to placenta previa?,Hemorrhage from the cervix,Rupture of membranes,Infection of the uterus,Placental abruption,a
OIC-024-19-A,What is a common maternal risk factor for premature birth?,Age > 40,Tobacco use,A history of preterm labor,Pregnancy complications in the first trimester,a
OIC-024-14-B,Quel est le principal facteur de risque pour la rupture des membranes à l'ante-part?,La pression sanguine,Les problèmes médicaux,Le stress,L'hypertension artérielle,A
OIC-024-03-A,What is the main difference between symptomatic ectopic pregnancy (EP) and pauci or asymptomatic ectopic pregnancy (EP)?,Symptomatic EP has a higher β-hCG level than pauci/asymp EP,"Pauci/asymp EP requires more aggressive treatment, while symptomatic EP can be managed with conservative treatment options",Both types require methotrexate as the primary treatment option,Symptomatic EP has a higher risk of failure compared to pauci/asymp EP,option_b
OIC-364-10-B,What is the main difference between a Type III and Type IV epiphyseal detachment?,"Type I, II, and III",Muscle insertions always lead to displacement.,Fractures in the lateral condyle of the elbow are usually articular.,Treatment is typically conservative.,option_c
OIC-364-08-B,What is the general recommendation for providing plaster cast immobilization to children with fractures?,Immobilize for 4 weeks,Immobilize until the bone has fully healed,Use a cast only in cases of severe trauma,Cast immobilization should be limited to specific types of fractures,b
OIC-364-05-A,What is the most likely indicator that a child's fracture should lead to suspicion of maltreatment?,Fracture before walking age,Significant delay in the child's presentation,"Presence of hematomas or petechiae, especially of different ages",Multiple types of trauma of different ages,option_b
OIC-364-11-A,What is the main difference between a Type I and Type II epiphyseal dislocation?,Both occur at the same age,Type I occurs before Type II,Type II occurs in older children,Both are treated with physical therapy only,b
OIC-364-02-B,What is the main difference between low-energy fractures in children and those in adolescents?,Age,Type of injury,Plastic deformation of bones,Developmental stage,a
OIC-364-06-A,What is the recommended initial management approach for children with suspected fractures?,Immediate surgical intervention,Temporary immobilization without diagnostic testing,Prescription of a painkiller without imaging,Locating the lesion before prescribing imaging,option_c
OIC-364-04-B,What is the most common location for fractures in children?,Lower limbs,Upper limbs,Backs,Spines,option_a
OIC-364-01-A,What is a typical fracture in children?,Epiphyseal fracture-decollement,Greenstick fracture,Buckle fracture,Apophyseal avulsion fracture,option_a
OIC-364-03-B,What is the primary function of the periosteum in children?,To produce bone tissue,To regulate blood pressure,To provide a protective layer around the bone,To facilitate bone resorption,c
OIC-364-12-B,What is a common complication of an ankle fracture that can lead to growth problems?,Delayed bone healing,Increased risk of osteomyelitis,Epiphysiodesis of the affected limb,Developmental delay in adolescence,c
OIC-364-07-A,What is the indication for an abdominal X-ray of the spine?,To confirm a diagnosis of a bone metastasis,To assess the alignment of the vertebral bodies,To evaluate the presence of a fracture in children,To check for any neurological symptoms,c
OIC-364-09-A,What should you do immediately if you suspect a child has compartment syndrome?,Apply ice and elevation,Open the cast,Give pain medication,Do nothing,option_a
OIC-048-02-A,What is the main role of dietary diversification in infants and children?,To introduce new food proteins to help them acquire tolerance,To reduce breast milk intake for all babies between 4-6 months old,To increase fiber intake from solid foods,To promote optimal taste development through introducing new flavors,option_a
OIC-048-04-A,What is the correct order for introducing solid foods to infants?,Fruits first,Vegetables first,Meat first,Fish first,b
OIC-048-01-A,What is the primary purpose of infant formula feeding?,To provide essential nutrients and vitamins,To allow mothers to breastfeed their children exclusively for a certain period,To eliminate allergies in infants by using allergenic milks,To prevent antibiotic resistance by using anti-regurgitation milk,option_a
OIC-048-03-A,What is the recommended preparation method for milk formulas in infants?,Add 2 measuring spoons of powder to 30 ml of low mineral content or tap water,Add 3 measuring spoons of powder to 30 ml of low mineral content or tap water,Add 4 measuring spoons of powder to 30 ml of low mineral content or tap water,Use a different type of milk formula that is not a standard preparation method,option_a
OIC-284-01-A,What is the main difference between IBS-D and IBS-C?,Both have similar symptoms,IBS-D has more severe abdominal pain,IBS-C has a higher risk of colon polyps,IBS-C does not have any associated bowel habits changes,option_a
OIC-284-02-A,What is the main diagnostic criterion for functional bowel disorders?,Abdominal pain occurring less than once a week,Defecation frequency increasing over time,A change in stool consistency,The presence of blood in stools,a
OIC-284-04-A,What is a common symptom associated with Functional Colorectal Disease?,Diarrhea,Constipation,Abdominal bloating and fullness,IBS (Irritable Bowel Syndrome),b
OIC-284-03-B,What percentage of the general population worldwide is affected by functional colorectal disease?,2%,4% ,6%,8%,b
OIC-284-08-A,What is the primary goal of therapeutic management for functional colorectal disease?,To diagnose and organize treatment,To set realistic targets for symptom improvement,To prescribe medication without considering the patient's expectations or questions,To use probiotics as a first-line treatment,option_a
OIC-284-05-A,When does a colonoscopy typically be performed?,After worsening symptoms,Before starting treatment,During questioning about risk factors,Immediately after diagnosis of organic causes,b
OIC-284-07-B,What should be done after a diagnosis of functional colopathy?,A CBC to check for anaemia,B CRP to look for inflammation,C TSH to rule out hyperthyroidism,D Parasitological examination of stools to diagnose lambliasis,a
OIC-284-06-B,What is the typical age range for presenting with symptoms after 50 during a colonoscopy?,40,50,60,70,b
OIC-288-02-B,What percentage of the French adult population experience hemorrhoidal symptoms in their lifetime?,50%,25%,75%,0%,c
OIC-288-09-B,What is another possible manifestation of internal haemorrhoids?,Iron deficiency anemia,Pernicious anaemia,Gastrointestinal cancer,Atherosclerosis,b
OIC-288-04-A,What is not true about hemorrhoids?,Haemorrhoids can be palpated,The internal plexus is only visible during an endocanal examination,External haemorrhoidal thrombosis is a necessary condition for diagnosing external haemorrhoids,"Hemorrhoids are only found in the rectum, not the anus",d
OIC-288-14-A,When should hemorrhoids be treated?,Symptomatic forms only,Any form of hemorrhoid,Only surgical procedures,A combination of all options,option_a
OIC-288-17-B,What is a characteristic feature of external haemorrhoidal thrombosis?,A raised scar known as mariscus,Chronic bleeding due to partial mobilisation of the clot,Ulceration at the top of the thrombosis,External haemorrhoidal thrombosis is a highly infectious disease.,a
OIC-288-08-B,What is characteristic of external hemorrhoidal thrombosis?,External hemorrhoids are typically painful and may bleed spontaneously.,Internal hemorrhoids are more likely to be associated with hemorrhoidal thrombosis due to increased venous pressure.,"External hemorrhoidal thrombosis often presents as a sudden, severe pain in the rectum.",Hemorrhoidal thrombosis is a rare condition and may not present at all.,option_b
OIC-288-01-A,What is the main characteristic of hemorrhoids?,They have a large diameter,They are only found in adults,They can be painful at rest,They shrink after eating,C
OIC-288-05-A,What is a common symptom associated with hemorrhoidal thrombosis?,Bleeding,Tension,Sharp pain,Blushing,c
OIC-288-03-B,What is a common cause of an asymptomatic anatomical component becoming symptomatic in haemorrhoidal disease?,Straining during bowel movements,Eating too much fibre,Having a weakened pelvic floor muscle,Being overweight,option_a
OIC-288-07-B,What is the typical duration of external haemorrhoidal thrombosis?,Days,Weeks,Months,Years,a
OIC-288-13-A,What type of procedure is used for hemorrhoids that have thrombosis?,Surgical removal,Instrumental treatment,Endoscopic excision,Percutaneous sclerotherapy,d
OIC-288-12-B,What is the main factor favoring hemorrhoidal pathology?,Hemorrhoids are a result of excessive fiber intake,Hemorrhoids are caused by an imbalance in gut bacteria,Hemorrhoids are often triggered by stress and anxiety,Hemorrhoids are a sign of poor posture,option_a
OIC-288-16-B,What is the primary indication for surgical treatment of hemorrhoids in patients with mild symptoms?,Hemorrhoids causing severe pain,Hemorrhoids affecting the anal sphincter,Hemorrhoids causing significant bleeding,Hemorrhoids affecting the rectal wall,option_a
OIC-288-06-A,What is a characteristic symptom of internal hemorrhoids?,Noisily over a short period of time,Long-lasting symptoms accentuated during and after defecation,Chronic anal pruritus,Sharp pain in the anus,b
OIC-288-15-A,What is the primary goal in managing external hemorrhoidal thrombosis?,To relieve symptoms immediately,To remove the thrombus entirely before applying pressure,To treat the underlying cause of the condition,To induce a coma to stop bleeding,c
OIC-256-06-A,What is a key benefit of regular physical activity in adults?,Improves mental health,Increases muscle mass,Reduces stress levels,Enhances cognitive function,a
OIC-256-01-A,What is the main requirement for obtaining or renewing a federal sports licence in adults?,"To obtain a medical certificate stating no contraindications to practising sport, less than one year old on the day of application.",A medical examination by a specialist in a specific discipline (e.g. mountaineering),The athlete must have completed a certain number of hours of physical training before applying for the licence,"To obtain or renew a federal sports licence, the athlete must provide a written statement from their doctor stating that they are fit to practice sport.","A medical certificate stating no contraindications to practising sport, less than one year old on the day of application."
OIC-256-05-A,What is the main cause of sudden death during exercise?,Hypertrophic cardiomyopathy,Unstable coronary artery disease,Progressive or unbalanced cardiovascular pathologies,Evolutionary changes in human physiology over time,a
OIC-256-10-B,"When consuming fats, should you eat them with or away from exercise?",Eat them away from exercise,Eat them close to exercise,The exact timing is irrelevant,Exercise can enhance fat metabolism,b
OIC-256-03-B,What should be done before issuing a medical certificate for adults who want to practice sports?,Ensure compliance with anti-doping regulations,Carry out a thorough physical examination of the cardiovascular system,Perform an ECG every 2 years after age 35,Take into account only symptoms suggestive of cardiovascular pathology during exercise,option_a
OIC-256-09-B,What is a key requirement for nutritional planning of athletes under 10 years old?,Consuming more protein,Avoiding high-carbohydrate foods,Including unsaturated fats in every meal,Eating only one type of food per day,option_b
OIC-256-04-B,What is the minimum duration before starting sports training for children under 10 years old?,3 hours,4 hours,6 hours,7 hours,b
OIC-256-08-B,What is the primary carbohydrate substrate for high-intensity physical activity?,Lactate,Glucose,Fructose,Glycogen,b
OIC-256-07-B,What is the main pathology associated with repetitive jumping in adolescents?,Severe's disease,Osgood-Schlatter disease,Tendinopathy,Fibromyalgia,b
OIC-256-02-B,What is the main criterion for determining partial or total contraindications to practicing sport in schools?,Age,Nutritional requirements,Chronic illnesses in decompensation,Total or permanent disabilities preventing certain activities,b
OIC-256-11-A,What is a common symptom suggestive of cardiovascular pathology during exercise?,Shortness of breath,Dizziness,Palpitations,Chest pain,c
OIC-325-01-A,What is the definition of an Adverse Drug Reaction (ADR)?,A reaction to a medication that occurs without any authorization,Any response to a medicinal product that is not intended by the manufacturer,An adverse reaction caused by taking too much of a medication,The unintended consequences of using a medicinal product for its intended purpose,d
OIC-325-17-A,What should be done when a patient's medication label is unclear or missing?,Check with another pharmacist,Ask the prescriber for assistance,Use the generic name instead,Call the pharmacy to confirm the prescription,option_b
OIC-325-18-B,What does 'counterfeit medicines' mean?,Illegally copying a medicine,Falsely labeling a medicine with a different name,Misrepresenting the source of a medicine,Intentionally tampering with a medicine's packaging,option_c
OIC-325-19-B,What is the most common risk associated with counterfeit medicines?,The ingestion of unknown products can lead to serious health problems.,Counterfeit medicines are made from natural ingredients and therefore safe.,Using counterfeit medicines leads to a higher quality product compared to authentic ones.,"Counterfeit medicines contain no active ingredients, which makes them ineffective.",option_a
OIC-325-20-B,What is the main purpose of referring a case to the National Office for Compensation for Medical Accidents (ONIAM)?,To obtain an independent assessment of damages by medical experts.,To establish liability between parties in a dispute over compensation.,"The ICC's role is to provide guidance on how to refer cases to ONIAM, not to determine liability or make decisions about compensation.","ONIAM is responsible for managing the process of referral and making offers of compensation, but it does not have the authority to award damages.",To obtain an independent assessment of damages by medical experts.
OIC-325-12-A,"What should a healthcare professional report if they suspect that a patient is abusing or dependent on a substance with psychoactive effects, such as cannabis, amphetamines, or LSD?",Report to the Drug Dependence Assessment and Information Centre (CEIP) in the area where the case was reported.,Report directly to the CEIP concerned via the adverse health event reporting portal (https://signalement.social-sante.gouv.fr).,"Contact a trusted authority figure, such as a family member or social worker, for guidance on how to proceed.",Do not report to the authorities if the patient is a minor or has a history of mental illness.,Report to the Drug Dependence Assessment and Information Centre (CEIP) in the area where the case was reported.
OIC-325-02-A,What is one common issue related to the risks associated with medicines?,Poor storage of medications,Using expired or contaminated medical devices,Lack of clear labeling on medication packaging,Inadequate training for healthcare professionals,option_a
OIC-325-16-A,What is a serious adverse event related to healthcare?,A sudden and unexpected illness,An unexplained allergic reaction,A congenital anomaly or malformation,A minor injury,option_c
OIC-325-06-B,What percentage of medical and surgical admissions were due to a serious adverse event?,3% ,4% ,2% ,5%,b
OIC-325-09-B,What is the main idea being tested?,Imputability is a method to estimate causal link between drug and effect,The imputability method only considers temporal factors,Imputability can be affected by external biases,Imputability requires detailed medical records,option_a
OIC-325-03-A,What is considered an inappropriate prescription in medicine?,Prescribing a medication without a medical condition,Using a medication that has not been approved by the FDA,Giving a patient a high dose of a medication,Prescribing a medication for a condition it is not suitable for,option_a
OIC-325-10-A,Who reports an adverse reaction suspected of being drug-related?,Healthcare professionals,Companies or organizations exploiting medicinal products,Patients and approved patient associations,Regulatory authorities only,option_a
OIC-325-08-A,What is the main objective of pharmacovigilance?,To monitor and manage adverse reactions,To improve patient safety by reducing harm from medicines,To ensure product registration and approval in all countries,To provide a platform for reporting adverse events to governments,b
OIC-325-14-A,What should be reported to the local materials vigilance correspondent about an adverse reaction suspected to be due to biomaterials?,To the ANSM using the portal for reporting adverse health events,"To the local health authorities or the French public health network (RPH) if the incident is not related to a medical device, by post directly to the ANSM with the corresponding Cerfa declaration form",To the manufacturer of the biomaterials.,The person who used the medical device at home.,"To the local health authorities or the French public health network (RPH) if the incident is not related to a medical device, by post directly to the ANSM with the corresponding Cerfa declaration form"
OIC-325-13-B,What is the primary objective of materiovigilance?,Prevent the use of untested or expired medical devices,Ensure compliance with regulatory requirements,Identify and report adverse events related to medical devices,Monitor the performance of medical device manufacturers,c
OIC-325-15-A,What is a medicinal error?,I. Unintentional act involving the medicinal product during care.,II. An unintended change to the prescribed medication,III. A miscommunication between healthcare professionals,IV. A deliberate intent to harm the patient,a
OIC-325-07-A,What is the primary risk factor for increased frequency and severity of ADRs in elderly subjects?,Age-related pharmacokinetic changes,Multiple medications taken simultaneously,Increased dosage due to co-morbidities,Hormonal fluctuations during menopause,option_a
OIC-325-04-B,What does 'Right Dose' in the 5B rule refer to?,A dose that is too low,A dose that is too high,The correct dosage of a medication,A dose that has expired,c
OIC-325-21-B,What is the main objective of the Commission de Conciliation et d'Indemnisation (CCI)?,To provide a no-fault compensation system for victims of medical accidents.,To establish a fault-based liability regime for medical professionals.,"To handle and settle all types of medical claims, including those related to biomaterials and iatrogenic risks.","To ensure that the Office National d'Indemnisation des Accidents Médicaux, des Affections Iatrogènes et des Infections Nosocomiales (ONIAM) handles all medical accident cases without going to court.",option_a
OIC-325-11-A,What are the main purposes of addictovigilance?,To monitor the use of medicinal substances,To investigate cases of misuse of psychoactive substances,To identify potential sources of addiction in patients with chronic diseases,To research and develop new treatments for drug dependence,option_a
OIC-325-05-B,What is the main pathophysiological mechanism of the drug-induced pathology 'Immuno-allergic reaction'?,"Type A, predictable effects","Type B, unpredictable effects",Immunological effect,Dopaminergic blockade,c
OIC-094-02-B,What percentage of people experience neck pain?,1/4,3/5,2/5,0.25%,a
OIC-094-12-A,What is a common misconception about managing chronic spinal pain?,"Chronic spinal pain typically develops over several weeks, not months.",Prescribing bed rest or prolonged work stoppage is often recommended.,A common misconception is that radiculalgia requires epidural corticosteroid infiltration as a second-line treatment.,"Managing chronic spinal pain involves promoting physical activity and lifestyle modifications, but not necessarily using cervical collars.",b
OIC-094-04-B,What is the age range for a disc origin of lumbago?,25-40,30-50,35-55,20-45,b
OIC-094-09-A,What is the main etiology of secondary spinal pain?,Tumour,Infectious,Visceral,Traumatic,a
OIC-094-08-B,What are some common emotional problems associated with Rachialgia?,Anxiety,Sad mood/moral pain,Stress,Fatigue,A
OIC-094-16-B,What is the most likely cause of coccygodynia?,Trauma to the sacro-coccygeal region,Muscle strain in the pelvic floor,Obesity and pregnancy,Sudden change in sitting position,option_b
OIC-094-10-B,What is another common cause of secondary spinal pain in adults?,Chondrocalcinosis,Rheumatoid arthritis,Neurological tumour,Referred ENT pain,b
OIC-094-07-A,What is the primary purpose of searching for secondary spinal pain when a patient presents with progressive worsening pain at rest?,To exclude disc herniation,To investigate neurological symptoms,To diagnose hyperthermia/fever,To evaluate structural deformity,option_a
OIC-094-11-B,What is a common factor contributing to complicated spinal pain?,Social,Psychological,Rachidiennes,Both causes and consequences of chronic low back pain,b
OIC-094-03-A,What is the typical location and irradiation pattern of cervical rachialgia?,Cervical spine,Thoracic spine,Lumbar spine,Sacrum,a
OIC-094-06-A,What is the most appropriate imaging test for a patient with Rachialgia to be performed before the 7th week?,Red flags: MRI of the lumbar spine,MRI of the cervical spine,X-rays of the lumbar spine F + P,Simple radiography of the cervical spine in profile,option_a
OIC-094-01-A,"What is the main difference between cervicalgia, low back pain, and lumbago?",Cervicalgia refers to pain in the neck region.,Low back pain is located at the lower back.,Lumbago is a type of pain that affects the hips and buttocks.,"The main difference between cervicalgia, low back pain, and lumbago is their location.",option_a
OIC-094-05-B,What is a common factor associated with low back pain and neck pain?,Repeated trauma or microtrauma,Low back pain only,Family history,Obesity,option_a
OIC-094-13-B,What should be the initial treatment for chronic low back pain?,Level 2 analgesics,Lumbar belt,Muscle relaxants,Nefopam and corticosteroids,a
OIC-094-14-A,What is a common cause of referred low back pain from the abdominal-pelvic region?,Abdominal aortic aneurysm,Lithiasis in the kidney,Gallstones in the gallbladder,Retroperitoneal adenopathy in the liver,a
OIC-094-15-B,What is a possible cause of sacralgia that should be considered in addition to trauma?,Coccydynia,Sacroiliac joint dysfunction,Pelvic organ prolapse,Spinal stenosis,option_b
OIC-186-02-B,"What is the common characteristic among bees, wasps, and hornets that makes their venom similar in composition?",They are all different species,They belong to different families,All three have a high level of allergenicity,None of the above,b
OIC-186-11-A,What is the role of the **environmental factor** that leads to an increase in allergic reactions in children?,Asthmatics should be systematically screened for occupational allergies.,The incidence of atopy is lower in rural areas and environments with high microbial biodiversity.,Changes in eating habits are due to the **decline in microbial diversity**.,"Contact with new food allergens (e.g., sesame) is a key factor in the development of hypersensitivities.",d
OIC-186-08-B,What percentage of people with peanut allergy also have a nut allergy?,0%,1%,5%,10%,b
