question,cop,opa,opb,opc,opd,subject_name,id,prediction
Plant penicillin is -,C,CarbamateT,OPC,Endrin,DD,Forensic Medicine,fdff24e5-fe4a-432b-926a-43f607c62018,A
Abbey's flap is used for reconstruction of-(,B,Breast repair,Upper lip repair,Cheek repair,Cheek repair,Medicine,8b3bbc3f-aecc-4632-85be-d0a1f664930b,B
Which of the following is a feature of primary hyperparathyroidism ?,B,Reversible growth of parathyroid gland,Irreversible growth of parathyroid gland,Hypercalcemia and hyperphosphatemia,Hypocalcemia and hyperphosphatemia,Medicine,ba55742b-4c30-4121-8df1-f3223c6739c7,C
Thymoma is associated with-,A,Myasthenia gravis,Polycythemia,Ectopic ACTH,Polyarteritis nodosa,Medicine,12a51307-9ec2-49c4-8245-f4df4a807445,A
Card test/ book test is done for which nerve injury,B,Radial nerve,Ulnar nerve,Median nerve,Tibial nerve,Orthopaedics,be90f7e2-c445-451f-855f-921d20f6c116,B
The extrinsic pathway of clotting is activated by,A,Release of tissue thromboplastin,Conversion of fibrinogen into fibrin,Formation of prothrombin,Release of calcium,Physiology,812135df-f6e2-4b71-8578-0ff2149e6243,A
Psammoma bodies are found in which of the following organs?,D,Stomach,Hea,Lungs,Thyroid,Pathology,cf5faa3c-4e8b-4cbd-a52b-0d5aeed4fd62,D
Pudendal nerve block involves?,D,LI L2 L3,L3 L4 L5,SI S2 S3,S2 S3 S4,Anaesthesia,be0d8e8a-7596-45f0-af43-fec6d875b1d8,D
Earliest pregnancy is detected by,A,b-HCG,Ultrasound,Foetal movements,Foetal heart sound,Gynaecology & Obstetrics,715a2326-ddc4-4e5e-b369-8e1544a36315,A
With iron treatment Hb increases by :,B,2 gm/week,1 gm/week,2 gm/month,1 gm/month,Gynaecology & Obstetrics,c638264b-ae9c-411e-8222-4b599e2ce662,B
"A newborn was given a drug in neonatal ICU, but then was found in respiratory distress. The likely drug is?",A,Morphine,Naloxone,Salbutamol,Soda-bicarb,Pediatrics,74b76638-afcf-4681-a551-099cf247eec0,A
Buprenorphine is partial agonist of,A,Mu (u) receptor,Delta (d) receptor,Kappa (k) receptor,Sigma (s) receptor,Pharmacology,529f1f4f-909e-49cf-8cde-672264326a4f,A
Which is a niacin sparing amino acid:,A,Tryptophan,Methionine,Cysteine,Tyrosine,Biochemistry,1fe26262-dfe7-4126-8999-473a3d770d3c,A
"""Honeycomb lung"" is most typical of:",D,Centriacinar emphysema,Lymphangitic spread of lung carcinoma,Panacinar emphysema,Hamman-Rich syndrome,Radiology,5f6d6ccd-775e-41d4-a4a8-887de4c23ebc,D
Pancreatic pseudocyst most commonly occurs after,B,Trauma,Pancreatitis,Pancreatic surgery,Pancreatic malignancy,Medicine,805af85f-4df9-49c7-91b7-da405cdfa4be,B
Retinoblastoma gene is located on chromosome ?,C,6,9,13,21,Pathology,d91a96ee-bb00-43cd-a89d-762dde94f875,C
Gold standard procedure to reduce recurrence of pterygium after surgical excision is,D,Thiotepa,B- radiation,Conjunctival autograft,Amniotic membrane grafting,Ophthalmology,a41a62f3-ee4a-4542-b245-f41f75803c9a,C
1 equivalent of Ca2+ ion is equal to:,B,10 gram,20 gram,30 gram,40 gram,Physiology,68d68ea5-5244-4238-b974-0b7bcb5d46bd,D
Milian's ear sign is positive in:,B,Cellulitis,Erysipelas,Impetigo contagiosa,Borderline Tuberculoid Leprosy,Dental,d425432b-2a74-49ec-8f79-da2429b33083,B
Best investigation for pericardial effusion is -,D,MRI,CT,X ray,Echocardiography,Radiology,2fe98876-8ad2-48fa-a194-a2ae1c639f55,D
"In the demographic study of population, a country with low bih rate & a low death rate is in following phase",D,1st phase,2nd phase,3rd phase,4th phase,Social & Preventive Medicine,4405be04-6185-42b9-8d42-29457ee87caa,C
For which of the following wedging technique is used ?,C,After internal fixation with plates,After internal fixation with nail,POP cast,POP slab,Orthopaedics,d47365bc-6410-4645-8973-7e74ed8ca6cd,C
The period of training for a village health guide is -,B,1 month,3 months,6 months,12 months,Social & Preventive Medicine,0ed1c33b-10bc-4d5a-860d-b6dfdca6f68f,B
"In the immediate post operative period, body potassium is -",D,Exchanged with calcium,Exchanged with magnesium,Retained in body,Excreted excessively,Surgery,1eda7402-db41-4814-b017-4c9e6140d6d5,C
Which of the following conditions is commonly encountered in a female newborn and requires no therapy?,C,Enlarged clitoris,Labial fusion,Mucoid vaginal discharge,Prolapsed urethra,Pediatrics,b1fa1d9e-0083-4213-b214-b3674a8fc66a,C
Which of the following conditions is the brisk Moro reflex seen?,C,Kernicterus,Stage III hypoxic ischemic encephalopathy (HIE),Hypoglycemia,Erb's palsy,Pediatrics,26e9c5d0-67ef-4af8-8e93-8870c0d24172,C
Brain is presented for study in?,A,10% formalin,20% formalin,30% formalin,40% formalin,Forensic Medicine,bf2bffa5-f09c-48f3-94fd-e18632576997,A
Duration of MDR TB -,D,8-12 months,12-16 months,16-24 months,2-3 years,Social & Preventive Medicine,87260b6e-5e03-4c51-825b-01baae519816,C
"A 10 years old male patient came with complaint of headache and vomiting for past 20 days. On examination, patient has an ataxic gait. NCCT revealed a fouh ventricular mass causing obstructive hydrocephalus. CE-MRI was done to characterize the lesion . Most probable diagnosis is?",A,Ependymoma,Medulloblastoma,Pilocytic astrocytoma,Hemangioblastoma,Radiology,1d69c92c-127f-4843-8883-7141556954f2,B
Specific for CSF in rhinorrhea: AI 10,D,b-2 microglobulin,Albumin,Macroglobulin,b-2 transferrin,Forensic Medicine,2625904a-3ffd-4ff5-9d98-5239deca3dea,D
Tear production in child begins at,A,4 weeks,4 months,6 months,9 months,Ophthalmology,63e4bafa-9010-4c74-842a-de2f41dced19,B
Ideal time for doing ultrasound in pregnancy to assess fetal organ defect is:,D,8-10 wks,10-12 wks,12-14 wks,16-18 wks,Gynaecology & Obstetrics,d6db1ae0-d4d1-4332-a0da-491051470e92,D
Michaelis - Gatmann bodies are seen in,B,Interstitial cystitis,Malackoplakia,Thimble Bladder,Transitional cell carcinoma of bladder,Pathology,942517e3-5a14-40be-8a4b-e8893647eeb4,B
"In noice induced hearing loss, audiogram shows a typical notch at",D,1000 Hz,2000 Hz,3000 Hz,4000 Hz,ENT,1d947481-7714-4849-90d2-2a1fc21101a7,D
The commonest ocular infection associated with AIDS is:,B,Herpes zoster,Ctomegaloviruys,Toxoplasmosis,Tuberculosis,Ophthalmology,c7dd24ae-152e-4dcf-990c-522ae90457a9,B
Efferent of cremasteric reflex is carried by:,B,Ilioinguinal nerve,Genitofemoral nerve,Iliohypogastric nerve,Pudendal nerve,Anatomy,bee0593a-8b6a-4253-ba90-0105e17c0112,B
Anesthesia of choice in status asthmaticus is?,B,Thiopentone,Ketamine,Ether,N2O,Anaesthesia,43cc21fd-500b-46c0-8a3f-87391b896229,B
Fireflies produce light due to,C,NADH,GTP,ATP,Phosphocreatinine,Biochemistry,31fb3254-eb87-49af-bd2e-54d285d856b3,C
Jafferson's fracture is the fracture of -,B,Odontoid,C1,C2,C3,Orthopaedics,2146948d-629e-4afd-961a-35d0f282ee4e,B
Rhinolith can cause perforation of nasal septum by-,A,Pressure necrosis,Malignant transformation,Autoimmune reaction,Hypersensitivity reaction,ENT,c3a10ae4-99ba-4f6c-ad90-c776b122277a,A
Patau syndrome feature include A/E –,D,Cleft lip,Hypotelorism,Holoprosencephaly,Rocker bottom foot,Pediatrics,7f312357-4454-440b-9b8a-4468b73ad0ae,D
Human is dead end host for?,C,Malaria,Typhoid,Bubonic plague,Filaria,Microbiology,e98e19f6-b6bc-4ffe-a651-abd151a2438c,D
Insulin causes decrease in activity' of which enzyme-,C,PFK-1,Glucokinase,Pyruvate Carboxylase,Acetyl CoA Carboxylase,Biochemistry,d2d1a63b-c509-4722-bb6f-ff59648ecec9,C
The Canary System is able to measure defects in the tooth crystal structure with the effective probing volume of an area of:,A,1.5 mm in diameter and up to 5 mm below the tooth surface,2 mm in diameter and up to 5 mm below the tooth surface,1.5 mm in diameter and up to 4 mm below the tooth surface,2 mm in diameter and up to 4 mm below the tooth surface,Dental,f7da2887-2211-4ae3-8b04-a0c561f2673b,C
"A patient presented with scarring alopecia, thinned nails, hypopigmented macular lesions over the trunk and oral mucosa. The diagnosis is",C,Psoriasis,Leprosy,Lichenplanus,Pemphigus,Skin,77c4a5dd-4f31-4376-b033-82d7781ed56b,C
Invasive carcinoma differs from carcinoma in situ by:March 2005,C,Abnormal nuclear morphology,Pleomorphism,Breached basement membrane,Mitoses,Pathology,fc7a3e2c-af7f-4d7b-902d-44eaf233acdf,C
Intravenous immunoglobulin therapy is effective in some patients with which of the conditions?,A,Pure red cell aplasia,Myelodysplasia,PNH,G6PD deficiency,Medicine,6f2fe6c1-6ea1-42cd-aabf-501b0c5e4155,A
Which is least common site of berry aneurysm:,B,Basilar aery,Veebral aery,Anterior cerebral aery,Posterior cerebral aery,Medicine,7e6c8bca-9a3e-4006-97e4-f1cbb5da9c29,B
Multiple erythematous annular lesions with peripheral collorette of scales arranged predominantly on trunk are seen in -,C,Pityriasis vesicular,Pytiriasis rubra pilaris,Pityriasis rosea,Pityriasis lichenoides chronica,Dental,7772d2ef-b8b5-4f5a-8f52-85828443189d,C
Microscope was invented by ?,C,Ronald ross,Robert koch,Antonie van Leeuwenhoek,Louis pasteur,Microbiology,b61b16d1-540c-425a-9024-ec0ab6ebfeca,C
Spur sign is/are seen in:,C,Supracondylar fracture of humerus,Radial head fracture,Acetabulum fracture of pelvis,Talus fracture,Surgery,c75df9eb-abec-45bc-af1e-411f2d27c052,A
A 37 year old female was diagnosed with paranoid schizophrenia. Her husband wanted to know about the poor prognostic factors. Which of the following is a poor prognostic factor?,C,Married,Female gender,Absence of precipitating factors,Family h/o mood disorders,Psychiatry,c198ded6-5695-4904-99d9-71c89baefdff,C
"A 30-year-old man who was recently staed on haloperidol 30mg/day developed hyperpyrexia, muscle rigidity, akinesia, mutism, sweating, tachycardia and increased blood pressure. The investigations showed increased WBC count, increased creatinine phosphokinase. There is no history of any other drug intake or any sign of infection. The most likely diagnosis",B,Drug overdose,Neuroleptic malignant syndrome,Drug induce Parkinsonism,Tardive dyskinesia,Psychiatry,5a34148e-9ef7-4277-91ff-92ae0fc79677,B
Dharmendra&;s index and Jopling&;s classification deals with -,B,TB,Leprosy,Syphilis,Polio,Social & Preventive Medicine,5d01229e-427c-419f-8702-ed08c23c3c66,B
Erysipeloid is transmitted by –,D,Droplet,Feco–oral,Mosquito bite,Contact with animal,Dental,ae7cc905-feea-4c81-8d30-b338b2d9e55b,D
Superior gluteal nerve does not supply -,D,Tensor fasciae latae,Gluteus medius,Gluteus minimus,Gluteus maximus,Anatomy,9b1e77e6-3d76-456b-a737-02e38c466ab7,D
"Unilateral middle ear serous effusion in an adult, most common cause ?",C,TB,Foreign body,Nasopharyngeal carcinoma,CSOM,ENT,a85a5ab1-e2f6-4f89-8d94-f56e6d4a6ccd,C
Supreme LMA characteristic is,D,Has no bite block,Used in infants,"High pressure, low volume",Has built in drain tube,Anaesthesia,8213f07f-ec90-4a1e-935e-020e96fadc90,D
Intravenous induction is preferred to inhalation induction because:,D,Causes less side effects,Blood pressure and cardiac output are better maintained,There is less danger of respiratory obstruction,It is quicker,Anaesthesia,f9b18750-18eb-4f4a-92c0-073c177d5d3c,D
"A 22-year old woman develops an acute contact dermatitis to a household-cleaning agent. Which of the following treatments is most appropriate during the bullous, oozing stage?",A,Wet dressings,Systemic coicosteroids,Topical Anesthetics,Systemic antibiotics,Dental,dabb9258-b35e-497e-aa58-9ef87552075a,A
A person's X-ray chest showing homogenous opacity on right side writh shifting of mediastinum on opposite side. Most probable diagnosis is/are:,B,Collapse,Pleural effusion,Pneumothorax,Consolidation,Medicine,3a0edd1e-148c-4a43-b737-f2c87267505a,B
Stipple sign in transitional cell carcinoma of the renal collecting system is best demonstrated by –,A,Intravenous urography,Retrograde pyeloureterography,Radionuclide scan,Ultrasound scan,Radiology,4e6e11d3-812d-4c38-9a3d-f54fa8414645,B
A healthy 22-year-old female medical student with normal kidneys decreases her sodium intake by 50% for a period of 2 months. Which of the following parameters is expected to increase in response to the reduction in sodium intake?,D,Aerial pressure,Atrial natriuretic peptide release,Extracellular fluid volume,Renin release,Physiology,d73b4d17-0170-4f1a-bafd-6f3a037e022b,D
Lepromin test is positive in which leprosy,D,Lepromatous,Indeterminate,Histoid,Tuberculoid,Skin,31c6db4b-f6f0-425f-aeae-73fdbac91259,D
Thalassemia occurs due to which mutations -a)  Missenseb)  Splicingc)  Transitiond)  Frame-shifte) Truncation,D,c,d,ab,bd,Pathology,bdbdf203-40d3-4324-bdd3-44111cc66c73,D
Which is the most abundant amino acid in the structure of collagen,B,Proline,Glycine,Hydroxy proline,Phenylalanine,Biochemistry,8bf82f60-36db-42e2-92af-9d95f3ba7581,B
Oxygenated blood from the placenta reaches the fetal hea In utero :,C,Umbilical aeries,Umbilical vein,Ductus venosus,Ductus aeriosus,Gynaecology & Obstetrics,9d292c50-fc61-4083-a32f-90e810739afe,B
Delusion is a disorder of: September 2011,C,Stream of thought,Form of thought,Content of thought,Possession of thought,Psychiatry,f1d0d958-de87-4e20-8d4c-31f7d983e5c3,C
"In gastric outlet obstruction in a peptic ulcer patient, the site of obstruction is most likely to be-",B,Antrum,Duodenum,Pylorus,Pyloric canal,Surgery,537c47b3-08ce-44a7-91c5-14779af8f6ec,C
What is the route of administration of an influenza vaccine?,B,Intranasal,Intramuscular,Subcutaneous,Intradermal,Social & Preventive Medicine,430fdd5a-8a79-40cf-821d-f668052f51ec,B
Circle of hebra is associated with:,B,Syphilis,Scabies,Leprosy,Lichen planus,Skin,e5d0c90b-f973-43cb-ba1f-6d4de1ccc966,B
The most common underlying anomaly in a child with recurrent urinary tract infections is?,B,Posterior urethral valves,Vesicoureteric reflux,Neurogenic bladder,Renal calculi,Pediatrics,59416bd5-1d80-4466-b7bf-d43b99f944ad,B
Likely size of uterus at 8 weeks post paum is,A,100 gm,500 gm,700 gm,900 gm,Gynaecology & Obstetrics,62acc108-7fc4-42e3-a056-7afa8c838b95,A
Which defense mechanism is commonly used by substance abusers?,C,Dissociation,Introjection,Denial,Projection,Psychiatry,7e09b0ab-5e17-4374-a9ae-7e6289654335,C
"For teletherapy, isotopes commonly used are",C,1-123,Cs-137,Co-60,Tc-99,Radiology,5ac8c4e2-ff75-4ac1-8cab-4c4f48a3c5b0,C
Concentration of Na (meq/I) in normal saline is ?,D,77,109,130,154,Surgery,a8a3658f-7cc6-4d10-a293-23c47f44e8fd,D
Which anesthetic has a maximum MAC?,A,Nitrous oxide,Halothane,Desflurane,Isoflurane,Anaesthesia,c9428144-f211-46d7-bbbc-e05861a7b94d,A
Co-factor for phosphofructokinase is,A,Mg +2,Mn +2,Fe +2,Zn,Biochemistry,1ff4525e-dc64-4a44-a58a-83837ecba3ca,A
The nerve affected in carpal tunnel syndrome is -,D,Radial nerve,Anterior Interosseus nerve,Superficial palmar branch of radial nerve,Median Nerve,Orthopaedics,e6d79ca3-351a-4abf-99bb-4d6802093efa,D
"A 3–year-old boy is brought to the casualty by his mother with progressive shortness of breath for 1 day. The child has a history of bronchial asthma. On examination, the child is blue, gasping and unresponsive What will you like to do first –",B,Intubate,Administer 100 % oxygen by mask,Ventilate with bag and mask,Administer nebulised salbutamol,Pediatrics,b638be33-6277-454b-8b99-ecaea8b47911,C
"Hand, foot mouth syndrome is caused by ?",C,Cisplatin,Methotrexate,5 FU,Metycergide,Pharmacology,3ea5eac2-93a6-46b2-9c76-4b078a573601,C
Fructose intolerance is due to deficiency of:,B,Fructokinase,Aldolase-B,"Fructose 1,6 bisphosphatase",Fructose synthase,Biochemistry,7d6b92b2-5dce-4fa0-932b-46f6aa7f911e,B
Kerion is seen in :,B,Pityriasis,Dermatophytosis,Candidiasis,Trichomoniasis,Skin,27a39aca-a36a-4f5b-8b7c-e35be4a85ff1,B
Enchondroma commonly arises from,D,Ribs,Veretebre,Tibia,Phalanges,Anatomy,5a5a1137-5007-4d26-ae8d-555384238f5b,D
Vitamin E is -,C,Anticoagulant,Coagulant,Antioxidant,Antiinflammatory,Biochemistry,b01c759d-784e-41f1-b368-c61685a989dd,C
Corticosteroids cause which ty pe of cataract -,C,Cortical,Nuclear,Posteriorsubcapsular,Anteriorsubcapsular,Ophthalmology,75b50a89-939c-4746-92bf-e1c30d91f634,C
Conventional unit of Exposure is:,C,C/Kg,Air Kerma,Roentgen,Rad,Radiology,ce93c608-439e-42ce-b723-b9898b440ff3,C
The following combination of agents are the most preferred for short day care surgeries,A,"Propofol, fentanyl, isoflurane","Thiopentone sodium, morphine, halothane","Ketamine, pethidine, halothane","Propofol, morphine, halothane",Anaesthesia,a1cf6329-0e6c-43ef-8e03-1e63b7d04dfd,A
In non pregnant uterus cervical incompetence is treated by ?,A,Counselling,Shirodkars cerclage suture,McDonalds cerclage suture,Abdominal cerclage,Gynaecology & Obstetrics,39b0e32a-9952-4266-81dc-c7626cd80302,B
What is the treatment of choice of unrupturece tubal pergnancy with serum b-hCG titre 20001 U1 ml:,A,Single dose of methotrexate,Vairable dose of methotrexate,Expectant management,Laparoscopic salpingostomy,Gynaecology & Obstetrics,d181ca53-42ab-477e-8d5c-b597241ef2dc,D
The membranous pa of the interventricular septum is situated in between:,D,Right ventricle and right atrium,Right ventricle and left atrium,Left ventricle and left atrium,Left ventricle and right atrium,Anatomy,23a70127-e6f4-444f-9a5c-be44f4737b1c,D
Commonest manifestation of retinoblastoma is,B,Pseudohypopyon,Leukocoria,Squint,Nystagmus,Ophthalmology,4158d059-213c-447e-a76d-7504e6448fbd,B
"A 63-year-old man with a 40-pack per year smoking history undergoes a low anterior resection for rectal cancer and on postoperative day 5 develops a fever, new infiltrate on chest x-ray, and leukocytosis. He is transferred to the ICU for treatment of his pneumonia because of clinical deterioration. Which of the following is a sign of early sepsis?",D,Respiratory acidosis,Decreased cardiac output,Hypoglycemia,Peripheral vasodilation,Anaesthesia,a7f34d57-5e9a-487a-aa59-a1b1f966fc90,D
Hand wrist radiograph provides a view of:,C,25 bones,26 bones,30 bones,32 bones,Dental,997a360c-d42e-462f-9664-e5c4161e79a9,A
A 5 year old child is brought to the clinic with abdominal distention. On examination abdominal distention is found to be due to an enlarged liver. Child also developed episodes of uncontrolled hypoglycemia and ketosis. What is the most probable diagnosis?,B,Diabetes mellitus,Glycogen storage diseases,Lipid storage disorders,Mucopolysacharidosis,Pediatrics,8d747f94-fa97-4ab8-9f19-e0087c503392,B
"A 50 year old male presents with a 3 year history of irritability, low mood, lack of interest in Surroundings and general dissatisfaction with everything. There is no significant disruption in his sleep or appetite. He is likely to be suffering from:",C,Major depression,No psychiatric disorder,Dysthymia,Chronic fatigue syndrome,Psychiatry,f9817985-fc3e-4185-b984-7ed18f4f72ba,C
Reverse transcriptase is: (PGI May 2011),B,DNA dependent RNA polymerase,RNA dependent DNA polymerase,DNA dependent DNA polymerase,RNA dependent RNA polymerase,Microbiology,1614cd51-612a-410c-adfa-93fa822a4ea0,B
A patient presented with blunt trauma to the abdomen to the emergency department. His heart rate is 150/min and his BP is 80/50 mm Hg. He is scheduled to undergo an emergency laparotomy. Which of the following is the anaesthetic agent of choice ?,C,Thiopentone,Midazolam,Ketamine,Propofol,Anaesthesia,7fb9025b-6880-4f7c-85aa-530d61a77569,C
Ranolazine is a?,B,Vasodilator,Antianginal,Antihypertensive,Antiarrhythmia,Pharmacology,edf059f4-ae92-4489-91e3-9f16e5c30372,B
Increase in suicidal behaviour is due to,B,Increase in serotonin,Decrease in serotonin,Increase in noradrenaline,Reactive depression,Psychiatry,503bcfa0-4f98-4865-a6f7-eaa1d64a1b56,B
Target group forpulse polio immunization -,B,> 3 years,< 5 years,< 10 years,< 15 years,Social & Preventive Medicine,82511ab4-cfac-4e2e-8208-636bf6d94032,B
Earliest sign of compament syndrome of leg is:,D,Tingling or numbness,Skin mottling,Pulselessness,Pain on Passive stretch,Orthopaedics,8431d4b5-0950-41c3-b670-c5f145adad2e,D
Illegal aboion of a woman with her consent is punishable under -,B,Sec 310 IPC,Sec 312 IPC,Sec 313 IPC,Sec 314 IPC,Forensic Medicine,9a1f80c4-c147-4b1a-bfaf-4fb49157dc45,B
Time between infection and maximum infectivity is:,C,Incubation period,Serial interval,Generation time,Communicable period,Social & Preventive Medicine,d37ccd42-1497-4e4a-98f2-95baa6e36550,C
This type of eye problem in children occurs most likely in which infection?,B,Typhoid,Rubella,HIV,Measles,Pathology,f02b2a05-5621-41c4-a257-abe16150db69,B
Pulled up cecum is seen in,C,CA colon,Carcinoid,Ileocaecal tuberculosis,Crohn's disease,Surgery,52585a42-70e8-4f18-8d9a-bcbc85b23a62,C
"A  20-year-old  patient  weighing  60  kg  has  to  be  prescribed  an  antiepileptic  drug  (available
as 200 and 400 mg tablets) for generalized tonic-clonic seizures. The pharmacokinetic parameters
and  therapeutic  plasma  concentration  of  the  selected  drug  are:
Target  steady-state  plasma  concentration  (Cpss) –  6  mg/L
Oral  bioavailability  (F) –  70%
Volume  of  distribution  (V) –  1.4  L/kg
Clearance  (CL) –  80  ml/hr/kg
Plasma  half  life  (t½) –  15  hours
What should be the loading dose and the daily maintenance dose of the drug for this patient?",A,720 and 984 mg respectively,984 and 720 mg respectively,450 and 720 mg respectively,884 and 984 mg respectively,Pharmacology,e5efcfe6-0195-4268-b456-5e725e1ea645,A
A man has recurrent uicaria following exercise and coming out in sun. Diagnosis is:,A,Cholinergic uicaria,Atopic reaction,Photo dermatitis,Chronic idiopathic uicaria,Skin,c273e4b9-6df0-452a-8d92-d3f4169cc004,A
Which of the following is not seen in Dermatomyositis:,D,Gottrens papules,Helitrope rash,Mechanics hand,Salmon Rash,Skin,158e6b91-b250-47b9-9508-be0c2f08ebc5,D
Muscle which is not attached to the coracoid process,C,Coracobranchialis,Sho head of biceps,Long head of biceps,Pectoralis minor,Anatomy,64c5be9c-1609-4e84-9b6a-3412cc0b1e94,C
Dystrophic calcification is commonly seen in,C,Hyperparathyroidism,Vitamin D deficiency,Atheromatous plaque,Renal disease,Pathology,bb5cc9b0-f573-413b-8825-0062b1a226ab,C
Power of reduced eye is -,B,55 D,60 D,65 D,70 D,Ophthalmology,6dc63f08-0877-4d46-81e2-e1bea98d7955,B
Radiation dose in mammography,C,0.1 Gray/study,0.01cGray/study,0.1 cGray/study,0.01 Gray/study,Anatomy,b846a213-1838-4447-bd37-66f1d024bee7,C
Term period for embryonic period: September 2006,B,0-14 days of gestation,14 days to 9 weeks of gestation,9 weeks to bih,22 weeks intrauterine to 7 days after bih,Physiology,86dea062-d08c-40a8-901f-f79b041dd4d5,B
A 6 month child woke up in night crying with abdominal pain which got relieved on passing red stools. What is the diagnosis?,B,Meckel's diveiculum,Intussusception,Malrotation,Intestinal obstruction,Pediatrics,ae211a25-450f-47ac-bb82-ea67e7d0a6f1,B
"Sensorineural deafness seen in -
(a) Alport's syndrome
(b) Pendred syndrome
(c) Treacher - Collins syndrome
(d) Crouzon's disease
(e) Michel’s aplasia",C,abcd,bcda,abce,bcda,ENT,611fbe2e-cff2-40db-9b4b-fc9e883c84b5,C
Which of the following is not a complication of infective endocarditis:,B,Myocardial ring abscess,Suppurative pericarditis,Myocardial infarction,Focal and diffuse glomerulonephritis,Pathology,40beb841-da97-4e16-b4a3-339fcf22db1a,C
Derivative of ultimobranchial body,C,Thyroid,Capsule of thyroid,Parafollicular 'C' cells,2nd branchial pouch,Anatomy,bf543996-caf0-405f-b1d9-202168a9e229,C
Which type of psoriasis is associated with streptococcal throat infection?,C,Pustular,Flexural,Guttate,Scalp,Skin,72e803b6-1b32-407a-9867-c42913a063b4,C
"A 24-year-old male presents to the clinic with a history of hypopigmented patches over his chest since 6 months. Mild itching is present. The skin scraping was taken and KOH mount was prepared. On microscopy, the appearance as shown below is observed. What is the most probable diagnosis?",D,Pityriasis alba,Candidiasis,Tinea corporis,Pityriasis versicolor,Microbiology,2d411b22-8d56-4234-8594-5ea268b0ffc7,D
Clonorches sinenensis is?,D,Tapeworm,Roundworm,Threadworm,Fluke,Microbiology,f4438206-6b65-475a-9dbc-81ca4cf4c42a,D
The first clinical presentation of acoustic neuroma is feature of ____________,D,Brainstem involvement,Cerebellar involvement,Facial nerve involvement,Cochleovestibular symptoms,ENT,d1d3d449-d824-4a6b-8fc2-a5bc6e789af1,D
H. ducreyi causes:,A,Soft chancre,Hard chancre,Pustule,Painless chancre,Skin,ce4a317b-3d4a-44c6-99de-f467dcaf7fbf,A
The pump responsible for gastric acid secretion is,C,H+ ATPase,Na+ - H+ ATPase,H+ - K+ ATPase,Ca2+ - H+ ATPase,Physiology,172c8e1c-73fb-472e-b0df-6f3f73812e0b,C
In which of the following uveitic conditions is it contraindicated to put in an intraocular lens after cataract surgery?,D,Psoriatic ahritis,Reiter's syndrome,Fuch's heterochromic cyclitis,Juvenile rheumatopid ahritis,Ophthalmology,c4631a14-39ed-44a5-b7e3-4d8495489ca1,D
Which part of the brain is most commonly effected in Alzheimer's disease?,B,Locus ceruleus,Entorhinal cortex,Frontal cortex,Cerebellum,Psychiatry,2c0ae22e-848f-491a-850b-519ca6a97f60,B
A completely charred body was brought for autopsy. You are examining the skull and cranial cavity. You find that there is a collection of blood in the epidural space. The presence of which of the following suggest the possibility of hematoma due to trauma:,C,Carboxy hemoglobin in the hematoma,Dark brown friable clot,Radiating Fracture lines over the skull,Diffuse Hematoma,Forensic Medicine,859e47fe-4d89-4df7-9991-fabe347f2c30,C
Anomaloscope is used to detect:,D,Squint,Retinopathy,Congenital glaucoma,Colour blindness,Ophthalmology,1728b98d-5233-4057-98ec-ed38c11fc518,D
A young patient developed sudden painless loss of vision which recovers spontaneously over a period of 3 months. What is the most probable diagnosis?,D,Macular hole,Angle closure glaucoma,Retinal detachment,Central Serous retinopathy,Ophthalmology,21f7957a-9d7b-49d1-be2f-ea9acfdb4830,D
Most common malignant tumor of parotid gland is?,A,Mucoepidermoid carcinoma,Warthin's tumor,Squamous cell carcinoma,Pleomorphic adenoma,Surgery,0732e471-6586-4240-baa2-e305c6e906d3,A
Which of the following describes grade 2 fracture neck femur?,B,"Incomplete fracture, medial trabeculae intact",Complete fracture with undisplaced neck,Complete fracture with ischemic head,"Moderate displacement of neck, vascularity damaged",Orthopaedics,bfd19527-6e20-4c6b-a58e-39fa33cd727c,B
Gottron papules is seen in -,A,Dermatomyositis,Scleroderma,Sarcoidosis,Behcets syndrome,Skin,1b4212fe-2ff3-46b5-93d2-964edf17a00e,A
Marker for granulosa cell tumor :,C,CA 19-9,Ca 50,Inhibin,Teratoma,Gynaecology & Obstetrics,eaa10676-c656-4a4f-be34-200ce81ebfb7,C
Notching of the ribs is seen in man,C,TR,TOF,Coarctation of aoa,PDA,Radiology,2d61b4b3-2e53-42c7-a522-664232329f13,C
Bulls eye retinopathy is seen in toxicity of-,D,Quinine,Tobacco,Ethanol,Chloroquine,Ophthalmology,293e83de-08ea-42e6-9e30-09b227cd0b4c,D
"A post graduate trainee could not deliver seminars and presentations, fearing his seniors despite knowing that they are supportive. He has difficulty speaking in front of others and also avoids going to the parties and college outings. The most likely diagnosis is he is suffering from:",C,Agoraphobia,Depressive disorder,Social phobia,Panic disorder,Psychiatry,2c97bac5-2031-4123-8fec-d7daf699e94b,C
Buoivacaine toxicity treated with:,B,Esmolol,Epinephrine,Lignociaine,5 percent dextrose,Anaesthesia,5c87206e-9adb-498f-9afc-b44d33e5cf13,B
Angular movement is sensed by,D,Cochlea,Saccule,Utricle,Semicircular canal,ENT,c3bda01a-eeca-4ba1-9741-13309456078e,D
Shape of class 1 preparation of lower first premolar :,C,Dumbell shape,Y shape,Butterfly shape,No definite shape,Dental,09ae08a9-cf27-4407-8263-9170be87e8c8,B
