id,question,option_a,option_b,option_c,option_d,correct_option
OIC-190-06-B,What is typically included in first-line imaging examinations for prolonged fever?,Full-face chest X-ray,Abdomino-pelvic ultrasound,CT of sinuses,Mammography,option_a
OIC-312-01-B,What is the estimated incidence of breast cancer in France?,1 in 7 to 9 women,1 in 8 to 10 women,2 in 5 women,3 in 4 women,option_b
OIC-312-05-A,What is the recommended age for a clinical breast examination by a health professional in women without risk factors?,Above 24 years,Below 25 years,At age 55,Not recommended at all,a
OIC-312-04-A,How does breast cancer spread?,Through lymphatic drainage,Through hematogenous route,By contiguity with other tissues or organs,Into the bloodstream directly,option_b
OIC-312-02-B,Which of the following is NOT a risk factor for breast cancer?,Late age at first pregnancy,Socio-economic status,"Family history of breast or ovarian cancer with possible knowledge of a genetic predisposition (germline mutation BRCA1, BRCA2)",Thoracic Irradiation,option_b
OIC-312-03-B,What is the primary mechanism through which BRCA1/2 mutations contribute to oncogenesis?,DNA repair,Cell division,Oncogenic activation,Genetic instability,option_d
OIC-312-06-A,What is the typical presentation of inflammatory breast cancer?,Enlarged lymph node in one breast.,Skin ulcer on the nipple and surrounding areola.,"A firm, painless mass in the breast with skin dimpling.",Breast discharge and general fatigue.,c
OIC-312-12-A,What is the typical age range for receiving chemotherapy in localized breast cancer?,Under 30,65+ years old,1-5 years old,6 and above,d
OIC-312-11-B,What should be done next in an extension assessment for a patient with axillary adenopathy?,Thoracoabdomino-pelvic CT and bone scan,MRI of the brain,An MRI of the spine, ,option_a
OIC-312-09-B,What type of biopsy should be performed before surgery for a Bi-Rad 3 biopsy?,Microbiopsy,Macrobiopsy,Biopsy with ultrasound guidance only,None of the above,option_b
OIC-312-08-A,What is the correct indication for performing mammography in women under 30 years old?,Breast cancer screening,First-line of treatment for breast cancer,To check for family history of breast cancer,Mammography can be used to prevent breast cancer in young women.,option_a
OIC-312-10-B,What is the main difference between Adenofibroma and Infiltrating Lobular Carcinoma? ,Both are types of benign breast tumours.,Adenofibroma is a type of ductal carcinoma while Infiltrating Lobular Carcinoma is a type of adenocarcinoma.,"In both cases, the tumour cells do not have any hormone receptor expression.",Both are types of benign lesions and malignant tumours.,A
OIC-263-07-B,What is a potential condition leading to renal artery stenosis in patients with fibrodysplasia of the renal artery?,Hypertension resistant to triple therapy,Atherosclerosis of the inferior mesenteric artery,Diabetic nephropathy,_Unknown_,option_a
OIC-263-04-B,What is characteristic of typical HUS in childhood primarily?,Infection with E. coli Shigella causes bloody diarrhea.,Typical HUS occurs due to an autoimmune response.,Typical HUS typically follows influenza infection.,Typical HUS is caused by a bacterial toxin.,option_a
OIC-263-10-B,What percentage of renal infarction cases are caused by atherosclerosis?,40%,10%,50%,20%,a
OIC-263-05-B,What is the key difference between typical HUS and atypical HUS?,"Diagnosis involves PCR detection of shigatoxin-encoding genes in stools, whereas for atypical HUS, it involves isolating the STEC strain.","Typical HUS causes severe fatigue, anaemia, and bloody diarrhoea, while atypical HUS is characterized by mild symptoms.","Atypical HUS often recurs in children following renal transplantation, whereas typical HUS typically resolves on its own.",Both conditions cause thrombocytopenia.,c
OIC-263-03-B,What is the primary cause of Thrombotic Microangiopathy Syndrome (MAT Syndrome)?,Typical enterobacteria producing Shiga-like toxins,Atypical HUS caused by mutations in complement proteins,Infection with HIV virus and H1N1 influenza,"Medications such as cyclosporine, tacrolimus, mitomycin C, gemcitabine, and anti-VEGF drugs",d
OIC-263-02-A,What is the definition of Thrombotic Microangiopathy Syndrome?,A condition caused by exposure to a virus,A hemolytic anemia that occurs when schizocytes are released into the circulation,A condition characterized by low platelet count due to consumption during blood sampling,A type of kidney disease that is not directly related to the MAT syndrome,b
OIC-263-08-B,What is the primary difference between a renal artery Doppler test and an ultrasound? ,"Renal Artery Doppler measures resistance indexes, while Ultrasound assesses kidney size asymmetry","Ultrasound directly visualizes the entire renal artery network, while Doppler only measures flow through branches",Both tests are equally sensitive for detecting stenosis,Ultrasound is less sensitive than Doppler for measuring resistance indexes,b
OIC-263-06-A,What is different between atheromatous and fibrodysplastic renal artery stenosis?,Fibrodysplasia of the media,Atheromatous stenosis with multiple lesions near the ostium,Fibrodysplasia of the medullary pyramids,Fibrodysplastic renal artery stenosis with astringent symptoms,option_b
OIC-263-09-A,What is the most common cause of acute renal infarction?,Arterial embolism,Thrombophilia,Atrial fibrillation,Valvulopathy,b
OIC-263-01-A,What does 'Thrombotic microangiopathy syndrome' refer to in the context of vascular nephropathy?,A condition where blood clots block urine production,A disease that affects all artery sizes in the body,A group of diseases caused by inflammation and damage to small vessels,A type of kidney stone,c
OIC-134-07-A,What is the main difference between acute and chronic nociceptive pain?,The intensity of pain increases over time.,A change in location of the pain from one side to the other.,Treatment focuses on reducing the pain rather than addressing its cause.,It is a type of neuropathic pain.,option_a
OIC-134-10-A,What is a common misconception about chronic pain management among elderly patients?,Overprescribing analgesics,Not regularly reassessing treatments,Using only one type of medication,Ignoring cognitive decline in treatment planning,d
OIC-134-01-A,What is the WHO definition of pain?,A sensation felt by a person in response to tissue damage.,A feeling that one's body is being attacked or invaded.,"An experience that brings a sense of pleasure, similar to liking something sweet.",A physiological mechanism for detecting and responding to certain types of stimuli.,a
OIC-134-09-A,What does the WHO classification mean for cancer pain?,It means a higher dose of strongest opioid.,"It refers to treating bone pain first, and then other types of pain,","It is used when patients have severe cancer to quickly alleviate pain,",It helps doctors understand the different cancers affecting the nervous system,option_b
OIC-134-02-B,Which of the following statements about neuropathic pain is incorrect?,"Neuropathic pain is thought to arise from damage to the central nervous system, not peripheral nerves.",The presence of ectopic discharges at a neuromuscular junction can be used as an indicator of neuropathy.,"All three types of pain (nociceptive, neuropathic, and nociplastic) are caused by the activation of nociceptors in peripheral tissues.","Nociceptic neurons in the spinal cord primarily transmit emotional aspects of pain, not sensory-discriminative aspects.",c
OIC-134-06-A,What is one key aspect of assessing acute versus chronic pain in adults?,The patient's cognitive ability,Using hetero-assessment scales for all patients regardless of their verbal communication level,Only focusing on the location of the pain when it is chronic,The patient can self-assess using a validated scale only if they are unable to use verbal language,option_b
OIC-134-08-A,What is the main difference between peripheral and central neuropathic pain? ,Both are caused by nerve damage,"The symptoms of neuropathic pain are only linked to the aetiology, and treatment depends on it.",Treatment for both types of neuropathic pain is similar,Peripheral nerves transmit signals that can be disrupted due to central nervous system damage.,option_d
OIC-134-11-A,What is the main difference between chronic pain syndromes like Fibromyalgia and Irritable Bowel Syndrome?,Both are associated with altered nociception,"Fibromyalgia involves a reduction in inhibitory mechanisms, while Irritable Bowel Syndrome (IBS) depends on an increase in facilitatory mechanisms","Both can be caused by physical or psychological trauma, but Fibromyalgia has a genetic and neurological background","FIBROMYLALGIA IS NOT A CHRONIC ABnormalITY, BUT A COGNITIVE-SIMULUS DISORDER OF THE PAIN PATHWAYS",b
OIC-134-04-A,What is the correct way to assess acute vs chronic pain in adults?,"Use a validated self-assessment scale (EVA, EN, EVS) without waiting for patient's complaint",Delay assessment until patient has complained about their pain,Use only one type of pain scale (e.g. VAS for acute vs. EVS for chronic),"Assess all areas including pain location, intensity and associated symptoms",option_a
OIC-134-03-A,What is the main objective of assessing acute pain?,To identify the primary source of pain,To assess the presence of a medical condition causing pain,To evaluate the patient's tolerance to analgesic treatment,To diagnose chronic pain without identifying its etiology,b
OIC-134-05-B,What is the primary treatment for induced pain? ,Pain relief medication,Psychiatric evaluation,Manual therapy,None of the above,option_a
OIC-109-07-B,What is the primary cause of psychogenic astasia-abasia?,Unexplained tremors,Muscle weakness,Poor posture habits,Neurological disorders such as cerebral palsy,option_c
OIC-109-03-B,What is the best way to assess balance before performing a clinical examination for Gait and Balance Disorders?,Wear a helmet while walking barefoot,Hold a light object above your head,Stand on one leg with eyes closed,Practice yoga in the morning,b
OIC-109-06-A,What is Abasia Astasia?,A fear of walking,An inability to walk,A sudden loss of balance and control while standing,A sudden onset of muscle spasms in the legs,a
OIC-109-10-B,What is the main difference between a Gait Disorder of Motor Origin and one of Psychogenic Nature?,Sudden onset,Inconsistency of clinical expression,Spontaneous modification of the disorder,Distractibility maneuvers,option_b
OIC-109-08-B,What is a common cause of waddling gaits in children?,Dysproporion.,Limb length discrepancy.,Muscle imbalance due to spinal cord injury.,Neurogenic bladder.,a
OIC-109-05-A,What is a key feature of diagnostic approach for lameness?,Reviewing previous episodes,Checking for muscle weakness in the hind legs,Conducting a thorough inspection of the joints and surrounding muscles,Observing gait patterns during exercise only,c
OIC-109-01-A,"When diagnosing a gait disorder in a patient with pain and instability, what is the most important consideration?",Falls from standing,Small steps,Advocacy for assistance,No outing from home,b
OIC-109-09-A,What is the primary factor contributing to Post-Fall Syndrome?,Muscle Weakness,Postural Instability,Overestimation of Fall Severity,Cognitive Distress,b
OIC-109-13-A,What is the main complementary examination other than imaging that should be performed in a patient with gait and balance disorder?,PR (Pulmonary Embolism),Intracranial Hemorrhage,Hypoglycemia,ECG: - Stroke},PR (Pulmonary Embolism)
OIC-109-02-A,What is the primary purpose of performing a neurological examination on a patient with gait and balance disorders?,To assess mobility,To evaluate muscle strength,To verify reflexes,To search for cognitive disorders,A
OIC-109-04-A,What is a characteristic feature of walking disorders of ataxic origin?,Heeling gait,Hemiparesis or hemiplegia,Adduction fixed posture,Small steps with excessive stepping,option_c
OIC-109-12-A,What is a cerebral MRI indicated for if stroke symptoms occur immediately?,"If sudden acute symptoms include transient ischemic attack (TIA), a cerebral MRI with diffusion sequence and analysis of the polygon of Willis should be performed urgently to rule out an acute ischaemic stroke.","If TIA symptoms resolve quickly, a CT scan and angioscan of the polygon of Willis should be performed urgently to rule out an acute ischaemic stroke.","If TIA symptoms last more than 24 hours, a cerebral MRI with diffusion sequence and analysis of the polygon of Willis should be performed to help diagnose the cause of prolonged symptoms.","If TIA symptoms resolve quickly, a CT scan and angioscan of the polygon of Willis should be performed urgently to rule out an acute ischaemic stroke.",To rule out an acute ischaemic stroke
OIC-351-06-A,What is a characteristic feature of acute agitation that suggests a non-psychiatric etiology?,Severe dehydration,"Vital signs, including temperature and blood pressure fluctuations",Hyponatremia,Hypermobility,b
OIC-351-04-A,"What is the most common cause of agitation in young adults when they first start using psychoactive substances? A) Acute intoxication with alcohol, B) Characterised depressive episode with anxious agitation, C) Schizophreniform disorder, D) Hallucinogen-induced agitation only occurs during the acute phase.",A, , , ,","
OIC-351-02-A,What is the main difference between delusional ideas and hallucinations?,"Delusions are alterations in thought, while hallucinations involve seeing things.","Hallucinations are altered perceptions of real objects and people, while delusions lack content.","Both conditions affect memory loss, but not the same type of memory.",There is no difference between delusional ideas and hallucinations in terms of cognitive function.,option_b
OIC-351-11-A,What is the primary aim of removing physical restraints in acute delirium?,To alleviate symptoms quickly,To reduce aggression and agitation,To prevent harm to patients or others,To improve patient satisfaction,b
OIC-351-10-A,What is the primary purpose of a comprehensive systematic examination in managing agitation and acute delirium?,Identify potential medication side effects,Conduct a thorough medical history to identify underlying causes,Perform gastrointestinal endoscopy to investigate for thick gout,Diagnose and treat liver disease through imaging studies,b
OIC-351-07-A,What is the primary characteristic of a delusion in Agitation and Acute Delirium?,A clear narrative thread,Systematised with an apparent logic to the delusion,Single theme related to persecution,Filiation,option_b
OIC-351-03-A,What is the characteristic feature of acute delirium that distinguishes it from negative delirium?,Delusional ideas,Hypnagogic hallucinations,Acute anxiety ,Positive psychotic symptoms,option_d
OIC-351-05-A,What is a characteristic feature of acute delirium in young adults?,Delusions of grandeur,A history of substance misuse,A recent travel abroad,The presence of hyperthyroidism,option_b
OIC-351-01-A,What does agitation typically look like?,Uncontrolled movements,Sudden loss of consciousness,Inability to speak clearly,Increased heart rate,option_a
OIC-351-08-A,What is the primary characteristic of a visual hallucination?,A change in color or shape,A change in brightness or contrast,"A sudden, intense movement",A change in depth perception,a}
OIC-351-09-B,What is a non-psychiatric cause for agitation that can lead to an initial positive diagnosis?,Signs of infection,Urinary incontinence or fecal impaction,Confusional syndrome,Abnormalities identified on neurological examination and general physical examination,option_a
OIC-351-12-A,What is the appropriate course of action for a patient who has experienced agitation and acute delirium?,Emergency medical services should be transported to the hospital immediately.,The patient can be treated with antipsychotics in a non-hospital setting.,"A thorough assessment is required before considering hospitalization for any reason, including agitation and acute delirium.",Treatment is only necessary if the agitation is severe or lasts more than 24 hours.,c
OIC-197-07-B,What are the main differences between Axial Spondyloarthritis (AS) and Peripheral Spondyloarthritis (PSA)?,Both AS and PSA use a single classification system for diagnosis.,The Higham score is used to assess menorrhagia in both sexes.,Axial Spondyloarthritis has a higher risk of developing ankylosing spondylitis.,Peripheral Spondyloarthritis requires a different classification system for diagnosis.,c
OIC-197-05-A,"What can be expected if sacroiliitis results from inflammatory pygalgia?  a) Inflammatory back pain in the buttocks. b) Gluteal pain that is unilateral and severe. c) Enthesalgia (tall pain). d) The absence of inflammation in the buttocks. }, { ",a,b,c,d, a
OIC-197-14-B,What is common in long-term follow-up for patients with spondyloarthritis?,Regular X-rays every one year,Annual joint injections,Progressive worsening of symptoms without any treatment,No monitoring at all,c
OIC-197-01-A,What is the term used to describe axial spondyloarthritis without radiographic sacroiliitis?,Spondylodiscitis,Spinal Stenosis,Arthritis associated with SIBO,Syphilis Arthropathy,c
OIC-197-04-B,What does an enthesis refer to?,A joint capsule,The lining of the tendon,A type of bone growth,The process of wear and tear on a joint,c
OIC-197-02-B,What percentage of people with spondyloarthritis in France have symptoms at a young age?,20,1,0.25,0.5,b
OIC-197-08-B,What is the correct term for reactive arthritis?,Reactive Arthritis,Non-Anterior Uveitis,Spondyloarthritis Reversal Syndrome,Crohn's Disease with Rectocolitis,option_a
OIC-197-13-A,What is the primary treatment mechanism of disease-modifying anti-rheumatic drugs?,Block the action of pain receptors,Stimulate the immune system to increase inflammation,Modify the body's production of antibodies,Kill rapidly dividing cells that produce inflammatory cytokines,c
OIC-197-12-A,What is the purpose of imaging examinations in spondyloarthritis?,To assess joint damage,To diagnose autoimmune diseases,To determine if patients need to undergo surgery,To monitor response to treatment,d
OIC-197-03-B,What percentage of patients with ankylosing spondylitis are expected to carry the HLA-B27 gene?,5%,20%,90%,99%,c
OIC-197-06-B,What is the main idea of this educational content about spondyloarthritis?,"Understanding key clinical manifestations,","Recognizing signs and symptoms in patients with spondyloarthritis,","Assessing diagnosis through laboratory tests,",Developing treatment protocols for patients with spondyloarthritis,Understanding key clinical manifestations
OIC-330-01-A,What is the mechanism of action of nonsteroidal anti-inflammatory drugs (NSAIDs) and general or local corticosteroids?,"Analgesic (low dose), antipyretic (low dose), and anti-inflammatory (higher dose) properties","Reducing prostanoid production by inhibiting cyclooxygenase (COX) with two isoenzymes: Cox-1, constitutive in almost all tissues, catalyses the formation of prostaglandins involved in the cytoprotection of the gastric mucosa and the preservation of renal function, as well as the production of thromboxane A₂ (TxA₂, vasoconstrictive and proaggregant) by platelets.",Non-selective NSAIDs inhibit Cox-1 and Cox-2 more or less selectively,"NSAIDs marketed as low-dose, over-the-counter analgesics and antipyretics",option_a
OIC-330-07-A,What is the main mechanism of action of low molecular weight heparin?,Inhibition of all coagulation factors,Inhibition of thrombin only,Inhibition of Factor Xa and IIa,Direct binding to the antithrombin III enzyme,c
OIC-330-10-A,What is the primary mechanism of action for Serotonin Reuptake Inhibitors (SRIs) in decreasing serotonin levels?,Increase neurotransmission,Block serotonin receptors,Stimulate G protein-coupled receptors,Decrease dopamine release,block serotonin receptors
OIC-330-08-A,What is the primary mechanism of action for apixaban and rivaroxaban?,Direct thrombin inhibition,Indirect coagulation pathway inhibition,Factor Xa inhibition,Antithrombin III binding,c
OIC-330-17-A,What is the primary difference between a weak opioid and a strong opioid?,"A weak opioid has only opiate receptors in its binding sites, while a strong opioid also binds to others?",A weak opioid does not act on the endogenous pain control system as well as a strong opioid,"A drug is considered safe if it causes no side effects because of genetic polymorphism, whereas a weak opioid should have some effects regardless of its formulation.",The primary difference lies in how quickly a person becomes resistant to the medication's effects over time.,b
OIC-330-09-A,What are the main therapeutic classes of benzodiazepines in adults?,A. Muscarinic agonists,B. Histamine H1 receptors,C. Dopamine receptors,"D. Monoamines (e.g., serotonin, norepinephrine)",a
OIC-330-03-A,What are some common side effects of beta-blockers?,Frequent insomnia and nightmares,"Bradycardia, cold extremities, Raynaud's phenomenon","Bronchoconstriction, rare",Rebound effect on abrupt cessation of treatment,option_a
OIC-330-11-A,What is the primary mechanism of action for warfarin?,Inhibits platelet aggregation,Affects vitamin K production,Increases blood clotting,Does not affect blood clotting,a)
OIC-330-05-A,What is the primary indication for calcium channel antagonists in adults?,Hypertension,Cystic Fibrosis,Chronic Obstructive Pulmonary Disease (COPD),Mitral Valve Prolapse,a
OIC-330-12-A,What is a key mechanism of action for antiepileptic drugs?,Blockade of calcium channels,Reduction of glutamatergic tone,Modulation of multiple targets,Blocking sodium channels,c
OIC-330-06-A,What is a primary mechanism of action for thrombolytic drugs?,Inhibiting platelet aggregation,Activating platelets,Interfering with blood clotting through other pathways,Directly activating the endothelial cells to promote vessel dilation,a
OIC-330-13-A,What is the primary mechanism of action for Ezetimibe?,Inhibits fatty acid absorption,Increases cholesterol synthesis in the liver,Blocking LDL receptors with a molecular complex,Decreases intestinal bile salt secretion,option_a
OIC-330-02-A,What is the primary mechanism of action of loop diuretics?,Natriuretic effect due to inhibition of the NKCC2 co-transporter at the level of the large ascending branch of Henle,Inhibition of aldosterone receptors in the collecting duct,Activation of guanylyl cyclase in the distal tubule,Blockade of the epithelial sodium channel (ENaC) in the thick ascending limb of Henle,d
OIC-330-04-A,What is a characteristic feature of angiotensin-converting enzyme inhibitors in relation to their action on the renin-angiotensin system?,They decrease blood pressure by reducing aldosterone production,They increase blood pressure by increasing vasopressin levels,They have no effect on the renin-angiotensin system,They increase bradykinin and decrease angiotensin II in a 1:1 ratio,d
OIC-330-16-A,What is the primary mechanism by which paracetamol exerts its analgesic effect?,Inhibiting calcium channels,Increasing serotonin and noradrenaline reuptake,Reducing prostaglandin synthesis,Blocking COX-1 and COX-2 enzymes,d
OIC-330-15-A,What mechanism does metformin use in diabetes?,Inhibiting hepatic gluconeogenesis and glycogenolysis,Stimulating insulin release by the pancreas,Reducing kidney glucose reabsorption,Increasing peripheral glucose uptake (muscles),option_a
OIC-330-14-A,What is the main difference between insulin and insulin analogues?,"Insulin is a single molecule with unique mechanisms of action, while insulin analogues are modified versions designed for specific therapeutic use.",Insulin analogues have more rapid onset of action compared to insulins,Both insulins and insulin analogues require regular injections to maintain effective blood glucose control.,Insulin analogues are used in cases where type 1 diabetes is not suitable for lifestyle modification or insulin therapy.,b
OIC-310-04-B,Where does prostate cancer spread from?,Seminal vesicles,Pelvic lymph nodes,Bone marrow,External sphincter,a
OIC-310-03-A,What are the known genetic factors that increase the risk of prostate cancer?,Family History, ,Genetic Mutations,Age,option_c
OIC-310-01-B,What percentage of prostate cancers develop in the peripheral zone?,50%,70%,95%,100%,90%
OIC-310-05-A,What is a common sign of advanced prostate cancer,Haematuria in men with PSA levels below 10 ng/ml,Bone pain without neurological symptoms,Acute urinary retention due to obstruction by a small prostate nodule,No significant change in DTR,option_a
OIC-310-06-A,PSA testing guidelines require an initial elevated test to be confirmed by a second elevated test within 3 months.,An initial elevated PSA should only be considered for further diagnosis after two consecutive tests have been elevated within the first year.,Early individual diagnosis is not recommended for patients with low-risk prostate cancer and a life expectancy of less than 10 years.,"The threshold value for concern is actually below 3 ng/ml, but this should be adjusted based on individual circumstances.",PSA testing guidelines must only consider digital rectal examination (DRE) results when abnormal DRE is confirmed by an elevated PSA test.,option_a
OIC-310-07-B,What is the benefit/risk ratio of Active Surveillance compared to Radical Prostatectomy in patients with Localized Prostate Cancer?,Total prostatectomy,"Active surveillance is recommended for low-risk cancers, while radical prostatectomy and other treatments are not.",Cryotherapy,Hormonal treatment alone is not effective in controlling cancer growth.,b
OIC-310-02-B,What is the recommended age range for screening prostate cancer?,20,30,40,50,d
OIC-024-11-A,What is the main complication of gestational hypertension that can lead to pre-eclampsia?,Eclampsia,Gestational diabetes,Cushing's syndrome,Pre-eclampsia,Eclampsia
OIC-024-01-A,What is the primary cause of first-trimester hemorrhage?,Ectopic pregnancy,Progressive intrauterine pregnancy with a decidual hematoma,"Rare cases: lysis of a twin, molar pregnancy, cervical cancer, ectropion",DDR,optiion_a
OIC-024-18-A,What is a key indicator of imminent preterm birth?,A shortened cervix,A dilation of the umbilical cord,A sudden increase in fetal heart rate,A high risk of chromosomal abnormalities in newborns,option_a
OIC-024-06-B,What is the main complication of pregnancy that requires emergency intervention?,Hypertension,Dyspnea,Preeclampsia,Uterine rupture,c
OIC-024-21-B,What is the recommended treatment for suspected placental abruption?,Antibiotic therapy alone,Tocolysis with calcium channel blockers,Hospitalization and transfer to a specialized maternity hospital immediately,No pre-d delivery corticosteroid therapy,option_b
OIC-024-09-B,What percentage of pregnancies with high blood pressure develop pre-eclampsia?,2.8%,"4%,",5-10%,15%,2.8%
OIC-024-10-B,What is the primary indication for requesting an obstetrical exam to assess fetal development?,A rise in creatinine,A decrease in fetal biometrics,An increase in proteinuria on a sample (>1 cross at BU) or on a 24-hour urine collection (>300 mg/24 h),The presence of IUGR,c
OIC-024-05-A,What percentage of postpartum hemorrhage is greater than 1000 mL?,{ true: 'Less than 10%' },{ false: 'Greater than or equal to 10%' },{ true: 'None specified in the content' },"{ false: 'More than 500 mL, regardless of cause' }",b
OIC-024-24-A,What is the primary diagnosis for fever during pregnancy?,Viral infection,Autoimmune disorder,Gastrointestinal infection,Thyroid storm,option_a
OIC-024-13-B,What should be the target blood pressure for pregnant women with mild hypertension?,140-145 mmHg,130-135 mmHg,125-130 mmHg,185-190 mmHg,b
OIC-024-17-B,What is a potential long-term complication of untreated gestational hypertension?,Fetal Growth Restriction,Increased Risk of Preeclampsia,Cardiac Artery Aneurysm,Hypertensive Sepsis,A
OIC-024-15-B,What should be the primary option for administering antihypertensive treatment to a woman with postpartum hypertension?,Beta-blockers,Calcium channel blockers,Alphamethyldopa,Labetalol,option_a
OIC-024-20-A,What is the primary concern in identifying women at risk of premature delivery?,BCS/BCS,Ultrasound Examination,Bacteriological test,Fetal fibronectin,option_c
OIC-024-12-A,What is a high-risk pregnancy condition?,Severe or uncontrolled hypertension,Hypertrophic cardiomyopathy,Vitamin deficiencies during pregnancy,Abnormal fetal presentation,a
OIC-024-22-A,What is a common cause of secondary prevention for women with abnormal pregnancies?,Prolonged bed rest,Hormonal changes during menopause,A family history of cervical cancer,Increased risk of gestational diabetes,option_b
OIC-024-08-A,What are the blood pressure thresholds for gestational arterial hypertension (GAAH)?,≥140mmHg,≥150mmHg,≥160mmHg,≥180mmHg,option_a
OIC-024-02-A,What is the primary goal of the surgical treatment listed in the guidelines for managing miscarriage?,Use of prostaglandins to induce abortion,To support the patient's physical recovery after termination,Hospitalisation and pre-operative assessment only,No hospitalization or pre-operative assessment is required,option_c
OIC-024-07-B,"What happens when a woman experiences postpartum hemorrhage (PPH) during delivery?
","The doctor recommends an immediate transfusion of oxytocin to stimulate uterine contractions.
","PPH is caused by the retained placenta, which needs to be removed by medical professionals.
","A woman's body naturally produces more blood after giving birth, and this excess blood might lead to PPH if not managed properly.
",Directed delivery involves a combination of oxytocin administration and manual removal of the placenta.,a
OIC-024-25-A,What is the main treatment for pyelonephritis during pregnancy?,Refer to urinary tract infection management guidelines,Use NSAIDs such as ibuprofen,"Amoxicillin 3g/d, and an aminoglycoside antibiotic",A combination of penicillin and ampicillin,c
OIC-024-16-A,What should be done before pregnancy for someone who was treated for hypertension?,Have a preconception consultation,Stop smoking and exercise daily,Get regular check-ups with an obstetrician,Use only aspirin as treatment,Option A: Have a preconception consultation
OIC-024-23-A,What are the three main signs of severe chorioamnionitis during pregnancy?,Bleeding,"Fever, uterine contractions",Nausea and vomiting,Painful urination,b
OIC-024-04-A,What is a common complication that may be overlooked during a routine check-up for placenta previa?,Frequent urination due to proteinuria,Abnormal fetal presentation (breech or transverse),"Maternal hypertension in pregnancy, multiple pregnancies, rupture of membranes",Palpation of the uterus (soft or contracted),option_c
OIC-024-19-A,What is the main complication that leads to premature birth?,Age-related issues in a pregnant young woman,Infection from certain bacteria that can cause preterm labor,The reduction of uterine cavity size due to multiple pregnancies or fibroids,Tobacco use leading to uterine contractions,c
OIC-024-14-B,What happens at 9 months after pregnancy?,Regular prenatal check-ups,Self-inducing contractions to induce labor,The baby will be transferred to the NICU for further care,Artificially induced labor is not possible until after birth,option_a
OIC-024-03-A,Ectopic Pregnancy: What is the condition where β-hCG levels remain high despite treatment with methotrexate?,Pauci or Asymptomatic Ectopic Pregnancy,Surgical Treatment,Special Cases,Paucity of Information,option_a
OIC-364-10-B,What is a characteristic feature of treating a fracture of the lateral condyle of the elbow?,Treatment is not usually surgery,Muscle insertions can cause initial displacement but secondary displacement is more common,Initial or secondary displacement is almost always due to muscle insertions,Articular involvement is rare in this fracture type,c
OIC-364-08-B,What does the growth plate mean when managing fractures in children?,A - A rigid bandage to control bleeding,B - Any activity that puts pressure on the affected limb,C - Osteosynthesis is not necessary as the bones will heal naturally,"D - There is no need for a plaster cast, except in severe cases of fractures.",c
OIC-364-05-A,"When a child gets a fracture, what should you look for to suspect maltreatment?",A pattern of multiple fractures in the same area,Multiple children being neglected and abused together,Fractures happening at the same time as other injuries like burns or wounds,The doctor is too quick to admit the child for treatment,A pattern of multiple fractures in the same area
OIC-364-11-A,What is the main difference between Type I and Type II epiphyseal dislocations in children?,Both types of ankle fractures are common in young children.,"Type II fractures occur more frequently in older adolescents, not children.","Type III fractures require immediate surgery, while Type I and II fractures can be treated conservatively.",Diagnosis is primarily made by a thorough physical examination.,c
OIC-364-02-B,What is a common fracture in small children?,Epiphyseal delamination,Greenstick fracture,Butter clod fracture,Plastic deformation of the bones,b
OIC-364-06-A,What is the best approach for prescribing painkillers in children with suspected fractures?,A) Use high-dose NSAIDs,B) Use low-dose acetaminophen or ibuprofen,C) Prescribe a 25-milligram dose of morphine every hour for the first 24 hours,D) Use codeine-based medications like Tylenol with Codeine,B
OIC-364-04-B,What is a major factor contributing to fractures in children?,Proper nutrition,Excessive physical activity,Overuse sports,Environmental pollution,b
OIC-364-01-A,What is a typical fracture in children?,A closed fracture,An open fracture,A stress fracture,A Salter and Harris epiphyseal fracture-decollement,d
OIC-364-03-B,What is the main function of the periosteum in children?,To produce new bone tissue,To cover all bones with a strong protective layer,To form a callus during fracture healing,To reduce pain by releasing chemical mediators,c
OIC-364-12-B,What is a key consideration when assessing young patients with suspected complications from an ankle fracture?,Use a 3D printing device to create a customized splint.,Perform bone morphogenetic protein injections to accelerate healing.,Monitor the patient's knee for signs of epiphysiodesis.,Employ a placebo solution to treat the fracture.,c
OIC-364-07-A,What is the best imaging modality for detecting fractures in children?,X-ray,Ultrasound,CT scan,MRI,a
OIC-364-09-A,What is the typical coloration of a child's hand or forearm when they have a supracondylar fracture?,Blue,Red,White,Pink,b
OIC-048-02-A,"When introducing diversification foods, what role do you want infants and children to play in their dietary requirements?",To meet most nutritional needs,To prevent constipation,To encourage the development of facial muscles,To introduce new flavors for taste development,a
OIC-048-04-A,When do infants typically start eating meat?,6 months,8-10 months,5 years,12-14 months,option_b
OIC-048-01-A,When is it safe to introduce iron supplements to infants who are exclusively or predominantly breastfeeding?,Infants up to 3 months,"All children, regardless of age or feeding method",Iron supplements should only be introduced after a minimum of 6 months of exclusive breastfeeding,No iron supplements can be given until further medical consultation,b
OIC-048-03-A,When is breast milk suitable for infants?,Until 12 months,During the first six months of life,After 4-6 months,Until they are 8 months old,c
OIC-284-01-A,What is one subtype of Irritable Bowel Syndrome (IBS) characterized by alternating diarrhea and constipation?,Irritable Bowel Syndrome with predominant constipation,Functional Colitis,IBS-D with alternating diarrhea and constipation,Functional Rectal Prolapse,c
